sample_id	data_type	size_bytes	data_attributes	browser_attributes
HG00128	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00128/expression.minus.hg38.bw", "name": "HG00128 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00128	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00128/expression.plus.chm13.bw", "name": "HG00128 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00128	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00128/expression.minus.chm13.bw", "name": "HG00128 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00133	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00133/expression.plus.hg38.bw", "name": "HG00133 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00133	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00133/expression.minus.hg38.bw", "name": "HG00133 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00133	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00133/expression.plus.chm13.bw", "name": "HG00133 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00133	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00133/expression.minus.chm13.bw", "name": "HG00133 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00140	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00140/expression.plus.hg38.bw", "name": "HG00140 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00140	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00140/expression.minus.hg38.bw", "name": "HG00140 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00140	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00140/expression.plus.chm13.bw", "name": "HG00140 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00140	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00140/expression.minus.chm13.bw", "name": "HG00140 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00146	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00146/expression.plus.hg38.bw", "name": "HG00146 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00146	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00146/expression.minus.hg38.bw", "name": "HG00146 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00146	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00146/expression.plus.chm13.bw", "name": "HG00146 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00146	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00146/expression.minus.chm13.bw", "name": "HG00146 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00232	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00232/expression.plus.hg38.bw", "name": "HG00232 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00232	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00232/expression.minus.hg38.bw", "name": "HG00232 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00232	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00232/expression.plus.chm13.bw", "name": "HG00232 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00232	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00232/expression.minus.chm13.bw", "name": "HG00232 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00235	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00235/expression.plus.hg38.bw", "name": "HG00235 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00235	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00235/expression.minus.hg38.bw", "name": "HG00235 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00235	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00235/expression.plus.chm13.bw", "name": "HG00235 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00235	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00235/expression.minus.chm13.bw", "name": "HG00235 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00253	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00253/expression.plus.hg38.bw", "name": "HG00253 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00253	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00253/expression.minus.hg38.bw", "name": "HG00253 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00253	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00253/expression.plus.chm13.bw", "name": "HG00253 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00253	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00253/expression.minus.chm13.bw", "name": "HG00253 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00272	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00272/expression.plus.hg38.bw", "name": "HG00272 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00272	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00272/expression.minus.hg38.bw", "name": "HG00272 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00272	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00272/expression.plus.chm13.bw", "name": "HG00272 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00272	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00272/expression.minus.chm13.bw", "name": "HG00272 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00280	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00280/expression.plus.hg38.bw", "name": "HG00280 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00280	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00280/expression.minus.hg38.bw", "name": "HG00280 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00280	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00280/expression.plus.chm13.bw", "name": "HG00280 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00280	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00280/expression.minus.chm13.bw", "name": "HG00280 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00290	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00290/expression.plus.hg38.bw", "name": "HG00290 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00290	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00290/expression.minus.hg38.bw", "name": "HG00290 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00290	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00290/expression.plus.chm13.bw", "name": "HG00290 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00290	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00290/expression.minus.chm13.bw", "name": "HG00290 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00320	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00320/expression.plus.hg38.bw", "name": "HG00320 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00320	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00320/expression.minus.hg38.bw", "name": "HG00320 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00320	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00320/expression.plus.chm13.bw", "name": "HG00320 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00320	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00320/expression.minus.chm13.bw", "name": "HG00320 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00321	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00321/expression.plus.hg38.bw", "name": "HG00321 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00321	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00321/expression.minus.hg38.bw", "name": "HG00321 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00321	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00321/expression.plus.chm13.bw", "name": "HG00321 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00321	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00321/expression.minus.chm13.bw", "name": "HG00321 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00323	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00323/expression.plus.hg38.bw", "name": "HG00323 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00323	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00323/expression.minus.hg38.bw", "name": "HG00323 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00323	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00323/expression.plus.chm13.bw", "name": "HG00323 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00323	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00323/expression.minus.chm13.bw", "name": "HG00323 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00329	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00329/expression.plus.hg38.bw", "name": "HG00329 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00329	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00329/expression.minus.hg38.bw", "name": "HG00329 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00329	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00329/expression.plus.chm13.bw", "name": "HG00329 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00329	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00329/expression.minus.chm13.bw", "name": "HG00329 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00344	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00344/expression.plus.hg38.bw", "name": "HG00344 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00344	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00344/expression.minus.hg38.bw", "name": "HG00344 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00344	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00344/expression.plus.chm13.bw", "name": "HG00344 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00344	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00344/expression.minus.chm13.bw", "name": "HG00344 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00350	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00350/expression.plus.hg38.bw", "name": "HG00350 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00350	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00350/expression.minus.hg38.bw", "name": "HG00350 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00350	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00350/expression.plus.chm13.bw", "name": "HG00350 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00350	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "chm13", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00350/expression.minus.chm13.bw", "name": "HG00350 Kinnex (minus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
HG00408	expression	12000000	{"platform": "PacBio Kinnex", "processing_tool": "minimap", "file_format": "bigWig", "description": ""}	{"coordinate": "hg38", "type": "bigwig", "url": "https://hprc-epigenome.s3.us-east-2.amazonaws.com/samples/HG00408/expression.plus.hg38.bw", "name": "HG00408 Kinnex (plus strand)", "options": {"color": "#10b981", "color2": "#0d9668"}}
